service_id,date,exception_type
2.451.4598,20181027,1
2.451.4598,20181103,1
2.451.4598,20181110,1
2.451.4598,20181117,1
2.451.4598,20181124,1
2.451.4598,20181201,1
2.451.4598,20181215,1
2.451.4598,20181222,1
2.451.4598,20181229,1
2.451.4599,20181007,1
2.451.4599,20181012,1
2.451.4599,20181014,1
2.451.4599,20181021,1
2.451.4599,20181028,1
2.451.4599,20181101,1
2.451.4599,20181104,1
2.451.4599,20181111,1
2.451.4599,20181118,1
2.451.4599,20181125,1
2.451.4599,20181202,1
2.451.4599,20181206,1
2.451.4599,20181208,1
2.451.4599,20181209,1
2.451.4599,20181216,1
2.451.4599,20181223,1
2.451.4599,20181225,1
2.451.4599,20181226,1
2.451.4599,20181230,1
2.451.4888,20181005,1
2.451.4888,20181008,1
2.404.3749,20181007,1
2.404.3749,20181012,1
2.404.3749,20181014,1
2.404.3749,20181021,1
2.404.3749,20181028,1
2.404.3749,20181101,1
2.404.3749,20181104,1
2.404.3749,20181111,1
2.404.3749,20181118,1
2.404.3749,20181125,1
2.404.3749,20181202,1
2.404.3749,20181206,1
2.404.3749,20181208,1
2.404.3749,20181209,1
2.404.3749,20181216,1
2.404.3749,20181223,1
2.404.3749,20181225,1
2.404.3749,20181226,1
2.404.3749,20181230,1
2.404.4877,20181006,1
2.404.4877,20181013,1
2.404.4877,20181020,1
2.404.4877,20181027,1
2.404.4877,20181103,1
2.404.4877,20181110,1
2.404.4877,20181117,1
2.404.4877,20181124,1
2.404.4877,20181201,1
2.404.4877,20181215,1
2.404.4877,20181222,1
2.404.4877,20181229,1
2.404.4917,20181002,1
2.404.4917,20181003,1
2.404.4917,20181004,1
2.404.4917,20181005,1
2.404.4917,20181008,1
2.404.4917,20181009,1
2.404.4917,20181010,1
2.404.4917,20181011,1
2.404.4917,20181015,1
2.404.4917,20181016,1
2.404.4917,20181017,1
2.404.4917,20181018,1
2.404.4917,20181019,1
2.404.4917,20181022,1
2.404.4917,20181023,1
2.404.4917,20181024,1
2.404.4917,20181025,1
2.404.4917,20181026,1
2.404.4917,20181029,1
2.404.4917,20181030,1
2.404.4917,20181031,1
2.404.4917,20181102,1
2.404.4917,20181105,1
2.404.4917,20181106,1
2.404.4917,20181107,1
2.404.4917,20181108,1
2.404.4917,20181109,1
2.404.4917,20181112,1
2.404.4917,20181113,1
2.404.4917,20181114,1
2.404.4917,20181115,1
2.404.4917,20181116,1
2.404.4917,20181119,1
2.404.4917,20181120,1
2.404.4917,20181121,1
2.404.4917,20181122,1
2.404.4917,20181123,1
2.404.4917,20181126,1
2.404.4917,20181127,1
2.404.4917,20181128,1
2.404.4917,20181129,1
2.404.4917,20181130,1
2.404.4917,20181203,1
2.404.4917,20181204,1
2.404.4917,20181205,1
2.404.4917,20181207,1
2.404.4917,20181210,1
2.404.4917,20181211,1
2.404.4917,20181212,1
2.404.4917,20181213,1
2.404.4917,20181214,1
2.404.4917,20181217,1
2.404.4917,20181218,1
2.404.4917,20181219,1
2.404.4917,20181220,1
2.404.4917,20181221,1
2.404.4917,20181224,1
2.404.4917,20181227,1
2.404.4917,20181228,1
2.404.4917,20181231,1
2.235.3575,20181002,1
2.235.3575,20181009,1
2.235.3575,20181010,1
2.235.3575,20181011,1
2.235.3575,20181015,1
2.235.3575,20181016,1
2.235.3575,20181017,1
2.235.3575,20181018,1
2.235.3575,20181019,1
2.235.3575,20181022,1
2.235.3575,20181023,1
2.235.3575,20181024,1
2.235.3575,20181025,1
2.235.3575,20181026,1
2.235.3575,20181029,1
2.235.3575,20181030,1
2.235.3575,20181031,1
2.235.3575,20181102,1
2.235.3575,20181105,1
2.235.3575,20181106,1
2.235.3575,20181107,1
2.235.3575,20181108,1
2.235.3575,20181109,1
2.235.3575,20181112,1
2.235.3575,20181113,1
2.235.3575,20181114,1
2.235.3575,20181115,1
2.235.3575,20181116,1
2.235.3575,20181119,1
2.235.3575,20181120,1
2.235.3575,20181121,1
2.235.3575,20181122,1
2.235.3575,20181123,1
2.235.3575,20181126,1
2.235.3575,20181127,1
2.235.3575,20181128,1
2.235.3575,20181129,1
2.235.3575,20181130,1
2.235.3575,20181203,1
2.235.3575,20181204,1
2.235.3575,20181205,1
2.235.3575,20181207,1
2.235.3575,20181210,1
2.235.3575,20181211,1
2.235.3575,20181212,1
2.235.3575,20181213,1
2.235.3575,20181214,1
2.235.3575,20181217,1
2.235.3575,20181218,1
2.235.3575,20181219,1
2.235.3575,20181220,1
2.235.3575,20181221,1
2.235.3575,20181224,1
2.235.3575,20181227,1
2.235.3575,20181228,1
2.235.3575,20181231,1
2.236.3575,20181003,1
2.236.3575,20181004,1
2.236.3575,20181005,1
2.236.3575,20181008,1
2.236.4873,20181006,1
2.236.4873,20181013,1
2.236.4873,20181020,1
2.236.4873,20181027,1
2.236.4873,20181103,1
2.236.4873,20181110,1
2.236.4873,20181117,1
2.236.4873,20181124,1
2.236.4873,20181201,1
2.236.4873,20181215,1
2.236.4873,20181222,1
2.236.4873,20181229,1
2.236.4874,20181007,1
2.236.4874,20181012,1
2.236.4874,20181014,1
2.236.4874,20181021,1
2.236.4874,20181028,1
2.236.4874,20181101,1
2.236.4874,20181104,1
2.236.4874,20181111,1
2.236.4874,20181118,1
2.236.4874,20181125,1
2.236.4874,20181202,1
2.236.4874,20181206,1
2.236.4874,20181208,1
2.236.4874,20181209,1
2.236.4874,20181216,1
2.236.4874,20181223,1
2.236.4874,20181225,1
2.236.4874,20181226,1
2.236.4874,20181230,1
2.170.3578,20181002,1
2.170.3578,20181009,1
2.170.3578,20181010,1
2.170.3578,20181011,1
2.170.3578,20181015,1
2.170.3578,20181016,1
2.170.3578,20181017,1
2.170.3578,20181018,1
2.170.3578,20181019,1
2.170.3578,20181022,1
2.170.3578,20181023,1
2.170.3578,20181024,1
2.170.3578,20181025,1
2.170.3578,20181026,1
2.170.3578,20181029,1
2.170.3578,20181030,1
2.170.3578,20181031,1
2.170.3578,20181102,1
2.170.3578,20181105,1
2.170.3578,20181106,1
2.170.3578,20181107,1
2.170.3578,20181108,1
2.170.3578,20181109,1
2.170.3578,20181112,1
2.170.3578,20181113,1
2.170.3578,20181114,1
2.170.3578,20181115,1
2.170.3578,20181116,1
2.170.3578,20181119,1
2.170.3578,20181120,1
2.170.3578,20181121,1
2.170.3578,20181122,1
2.170.3578,20181123,1
2.170.3578,20181126,1
2.170.3578,20181127,1
2.170.3578,20181128,1
2.170.3578,20181129,1
2.170.3578,20181130,1
2.170.3578,20181203,1
