route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
2.122,122,Turó de la Peira,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/122,DC241F,FFFFFF
2.123,123,Bonanova Alta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/123,DC241F,FFFFFF
2.124,124,Penitents,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/124,DC241F,FFFFFF
2.125,125,La Marina,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/125,DC241F,FFFFFF
2.126,126,Sant Andreu,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/126,DC241F,FFFFFF
2.127,127,Roquetes,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/127,DC241F,FFFFFF
2.128,128,El Rectoret,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/128,DC241F,FFFFFF
2.129,129,El Coll,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/129,DC241F,FFFFFF
2.130,130,Can Caralleu,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/130,DC241F,FFFFFF
2.131,131,El Putxet,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/131,DC241F,FFFFFF
2.132,132,Torre Llobeta / Prosperitat,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/132,DC241F,FFFFFF
2.136,136,Pg. Marítim / Verneda,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/136,DC241F,FFFFFF
2.150,150,Pl. Espanya / Castell de Montjuïc,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/150,DC241F,FFFFFF
2.155,155,Can Cuiàs / Santa Maria de Montcada,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/155,DC241F,FFFFFF
2.157,157,Collblanc / Sant Joan Despí,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/157,DC241F,FFFFFF
2.165,165,Prat Exprés,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/165,DC241F,FFFFFF
2.185,185,<M> Canyelles / Vall d'Hebron,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/185,DC241F,FFFFFF
2.191,191,Pl. Congrés / Hospital de Sant Pau,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/191,DC241F,FFFFFF
2.192,192,Hospital de Sant Pau / Poblenou,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/192,DC241F,FFFFFF
2.196,196,Pl. Kennedy / Bellesguard,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/196,DC241F,FFFFFF
